Jaegersborggade, 9x7, amateur, d = 4

[95mAlphaBeta[0m
         2488808989 function calls (1150783720 primitive calls) in 3296.220 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      897    0.000    0.000    0.000    0.000 structures.py:60(<genexpr>)
       39    0.000    0.000    0.000    0.000 structures.py:62(__len__)
       39    0.000    0.000    0.001    0.000 structures.py:82(copy)
      117    0.001    0.000    0.001    0.000 threading.py:213(__init__)
      897    0.001    0.000    0.001    0.000 threading.py:237(__enter__)
      897    0.001    0.000    0.001    0.000 threading.py:240(__exit__)
      858    0.001    0.000    0.001    0.000 threading.py:252(_is_owned)
      858    0.002    0.000    0.003    0.000 threading.py:332(notify)
      273    0.001    0.000    0.001    0.000 threading.py:72(RLock)
      468    0.000    0.000    0.000    0.000 timeout.py:104(_validate_timeout)
       39    0.000    0.000    0.000    0.000 timeout.py:12(current_time)
       39    0.000    0.000    0.000    0.000 timeout.py:138(from_float)
       78    0.000    0.000    0.000    0.000 timeout.py:154(clone)
       39    0.000    0.000    0.000    0.000 timeout.py:169(start_connect)
      117    0.000    0.000    0.000    0.000 timeout.py:193(connect_timeout)
       39    0.000    0.000    0.000    0.000 timeout.py:211(read_timeout)
      156    0.000    0.000    0.001    0.000 timeout.py:94(__init__)
       78    0.001    0.000    0.002    0.000 url.py:121(parse_url)
       78    0.000    0.000    0.000    0.000 url.py:16(__new__)
       78    0.000    0.000    0.000    0.000 url.py:88(split_first)
      273    0.001    0.000    0.003    0.000 utils.py:147(to_key_val_list)
       39    0.000    0.000    0.002    0.000 utils.py:308(get_encoding_from_headers)
       39    0.000    0.000    0.000    0.000 utils.py:346(iter_slices)
       39    0.000    0.000    0.000    0.000 utils.py:395(unquote_unreserved)
       39    0.000    0.000    0.001    0.000 utils.py:417(requote_uri)
       39    0.000    0.000    0.014    0.000 utils.py:487(should_bypass_proxies)
       39    0.000    0.000    0.001    0.000 utils.py:491(<lambda>)
       39    0.000    0.000    0.000    0.000 utils.py:50(super_len)
      546    0.000    0.000    0.001    0.000 utils.py:51(_has_surrogates)
       39    0.000    0.000    0.025    0.001 utils.py:532(get_environ_proxies)
       39    0.000    0.000    0.001    0.000 utils.py:540(default_user_agent)
       39    0.000    0.000    0.003    0.000 utils.py:571(default_headers)
       39    0.000    0.000    0.001    0.000 utils.py:663(get_auth_from_url)
      234    0.000    0.000    0.000    0.000 utils.py:676(to_native_string)
       39    0.001    0.000    0.009    0.000 utils.py:70(get_netrc_auth)
      403    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x000000001DA5AB40}
        2    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_encode}
       39    0.039    0.001    0.039    0.001 {built-in method _socket.getaddrinfo}
       39    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       39    0.000    0.000    0.000    0.000 {built-in method builtins.all}
   232476    0.463    0.000    0.963    0.000 {built-in method builtins.any}
        1    0.000    0.000 3296.220 3296.220 {built-in method builtins.exec}
      312    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
     1248    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
1476087374  115.922    0.000  115.922    0.000 {built-in method builtins.id}
     8443    0.003    0.000    0.006    0.000 {built-in method builtins.isinstance}
       89    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
1415879/1415840    0.242    0.000    0.242    0.000 {built-in method builtins.len}
  1935293    1.048    0.000    1.048    0.000 {built-in method builtins.max}
     1747    0.001    0.000    0.001    0.000 {built-in method builtins.min}
       11    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
      234    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       39    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        3    0.000    0.000    0.000    0.000 {built-in method now}
       78    0.005    0.000    0.005    0.000 {built-in method nt.stat}
      195    0.000    0.000    0.000    0.000 {built-in method time.time}
       78    0.001    0.000    0.001    0.000 {built-in method utcnow}
       78    0.002    0.000    0.002    0.000 {built-in method winreg.OpenKey}
      117    0.001    0.000    0.001    0.000 {built-in method winreg.QueryValueEx}
       78    0.000    0.000    0.000    0.000 {function HTTPResponse.close at 0x000000000298EEA0}
       39    0.000    0.000    0.000    0.000 {function HTTPResponse.flush at 0x000000000298EF28}
       39    0.000    0.000    0.000    0.000 {method 'Close' of 'PyHKEY' objects}
      897    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
      897    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       40    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
       40    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      156    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
      858    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
138108887   21.830    0.000   21.830    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
       78    0.000    0.000    0.000    0.000 {method 'clear' of 'collections.OrderedDict' objects}
       39    0.000    0.000    0.001    0.000 {method 'close' of '_io.BufferedReader' objects}
       39    0.007    0.000    0.007    0.000 {method 'connect' of '_socket.socket' objects}
       39    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
      234    0.000    0.000    0.000    0.000 {method 'count' of 'str' objects}
      156    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
1287/1248    0.001    0.000    0.001    0.000 {method 'encode' of 'str' objects}
       78    0.000    0.000    0.000    0.000 {method 'end' of '_sre.SRE_Match' objects}
       78    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       78    0.000    0.000    0.000    0.000 {method 'extend' of 'collections.deque' objects}
       78    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      715    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       78    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      234    0.001    0.000    0.001    0.000 {method 'fullmatch' of '_sre.SRE_Pattern' objects}
-1879334184  284.906   -0.000  284.906   -0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
       78    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      117    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
